Addresse,Code_insee,Departement,Latitude,Longitude,MinDistGar,MoyDistGar,train,rer,metro,tramway,Distance,DurationPoliceMin
Bezons 95870,95870,95,48.9250016,2.2105491,0.5507946396444121,23.101785805356982,0,0,0,1,0.5116687945083486,0.04861111111111111
Bezons 95870 (Agriculture),95870,95,48.9243,2.2128,0.36928965157476235,22.99045139880688,0,0,0,1,0.5182356957312143,0.06055555555555556
Bezons 95870 (Centre-ville),95870,95,48.9250016,2.2105491,0.5507946396444121,23.101785805356982,0,0,0,1,0.5116687945083486,0.04861111111111111
Bezons 95870 (Chênes - Val Notre Dame),95870,95,48.9243,2.2128,0.36928965157476235,22.99045139880688,0,0,0,1,0.5182356957312143,0.06055555555555556
Bezons 95870 (Nouveau Bezons),95870,95,48.9204595,2.2047466,0.9917049913547287,23.125457447239537,0,0,0,1,1.170030602284846,0.10944444444444444
Bièvres 91570,91570,91,48.7547679,2.2170148,0.4249779863343521,24.588837038951237,0,1,0,0,4.8751395143703515,0.21222222222222223
Blandy 77115,77115,77,48.56740070000001,2.7824287,9.12147673721564,49.500650548621145,1,0,0,0,9.394566092113557,0.25166666666666665
Blaru 78270,78270,78,49.0490725,1.4784398,4.663919391223577,69.99889218246572,1,0,0,0,17.46847315716194,0.35444444444444445
Blennes 77940,77940,77,48.2576831,3.023088,10.110423315152659,84.00227629618027,1,0,0,0,14.504814460864708,0.31527777777777777
Bobigny 93000 (Edouard Vaillant),93000,93,48.9095459,2.4606604,0.3165758079030455,22.374138246011317,0,0,0,1,0.7515850092295133,0.0825
Bobigny 93000 (Pierre Sémard),93000,93,48.9102905,2.4456892000000003,0.4356059574331816,21.85589072230728,0,0,0,1,0.34897917755545843,0.05
Boigneville 91720,91720,91,48.33506679999999,2.3741995,0.8094343241604426,60.264251947003785,0,1,0,0,19.290157456398443,0.41833333333333333
Boinville-en-Mantois 78930,78930,78,48.9298152,1.7568301,5.344123850001068,48.205551974170035,1,0,0,0,7.9633875346156335,0.2627777777777778
Boinville-le-Gaillard 78660,78660,78,48.493839799999996,1.8705744,8.62905463714697,56.41707443797525,1,0,0,0,17.531042094108432,0.3408333333333333
Bois-Colombes 92270 (Jean Mermoz),92270,92,48.9212098,2.2719607999999996,0.6939739875152217,21.090837940656936,0,0,0,1,0.9814425292197974,0.1125
Bois-d'Arcy 78390 (Les Jardins d'Arcy - La Normandie - La Colombe),78390,78,48.7997,2.0232,1.5241187488342416,31.62549813572827,1,0,0,0,2.169123527994632,0.135
Bois-d'Arcy 78390 (Les Langots - La Croix Bonnet - Forêt Domaniale),78390,78,48.7997,2.0232,1.5241187488342416,31.62549813572827,1,0,0,0,2.169123527994632,0.135
